Dep_Name,Pearson_Corr
"国元证券股份有限公司合肥芜湖路证券营业部,国海证券股份有限公司昆明人民中路证券营业部",0.2
"东方证券股份有限公司上海乌鲁木齐北路证券营业部,中国中投证券有限责任公司上海复兴东路证券营业部",0.2
"国都证券股份有限公司北京阜外大街证券营业部,华福证券有限责任公司福州广达路证券营业部",0.2
"银泰证券有限责任公司无锡兴源北路证券营业部,中国银河证券股份有限公司武汉花桥证券营业部",0.2
"长江证券股份有限公司宜昌夷陵大道证券营业部,华泰证券股份有限公司江西分公司",0.2
"山西证券股份有限公司太原漪汾街证券营业部,广发证券股份有限公司石家庄友谊南大街证券营业部",0.2
"山西证券股份有限公司太原漪汾街证券营业部,方正证券股份有限公司南昌南京西路证券营业部",0.2
"山西证券股份有限公司太原漪汾街证券营业部,广发证券股份有限公司珠海柠溪路证券营业部",0.2
"招商证券股份有限公司深圳布吉罗岗路证券营业部,海通证券股份有限公司上海闵行区吴中路证券营业部",0.2
"华西证券有限责任公司眉山湖滨路证券营业部,中国建银投资证券有限责任公司杭州环球中心证券营业部",0.2
"海通证券股份有限公司南宁人民东路证券营业部,安信证券股份有限公司成都领事馆路证券营业部",0.2
"国海证券股份有限公司南宁滨湖路证券营业部,宏源证券股份有限公司中山中山四路证券营业部",0.2
"申银万国证券股份有限公司上海商城路营业部,中国银河证券股份有限公司武汉澳门路证券营业部",0.2
"中信建投证券有限责任公司淄博市中心路证券营业部,金元证券股份有限公司天津大沽南路证券营业部",0.2
"天源证券有限公司盘锦泰山路证券营业部,方正证券股份有限公司南昌南京西路证券营业部",0.2
"华宝证券有限责任公司上海东大名路证券营业部,中信证券股份有限公司深圳望海路证券营业部",0.2
"广发证券股份有限公司石家庄友谊南大街证券营业部,方正证券股份有限公司南昌南京西路证券营业部",0.2
"广发证券股份有限公司石家庄友谊南大街证券营业部,广发证券股份有限公司珠海柠溪路证券营业部",0.2
"方正证券股份有限公司南昌南京西路证券营业部,广发证券股份有限公司珠海柠溪路证券营业部",0.2
"中信建投证券股份有限公司张家界市紫舞东路证券营业部,银泰证券有限责任公司青岛燕儿岛路证券营业部",0.2
"长江证券股份有限公司天津鼓楼南街证券营业部,广发证券股份有限公司佛山同济西路证券营业部",0.2
"浙商证券有限责任公司重庆中山一路证券营业部,中国银河证券股份有限公司重庆临江路证券营业部",0.2
"东吴证券股份有限公司太仓人民南路证券营业部,南京证券有限责任公司福州华林路证券营业部",0.2
"海通证券股份有限公司大庆经六街营业部,招商证券股份有限公司佛山季华路证券营业部",0.2
"信达证券股份有限公司朝阳五一街证券营业部,南京证券股份有限公司上海番禺路证券营业部",0.4
"中国中投证券有限责任公司常州晋陵中路证券营业部,浙商证券股份有限公司玉环长兴路证券营业部",0.2
"光大证券股份有限公司长沙人民中路证券营业部,中原证券股份有限公司商丘分公司",0.333333333333
"中山证券有限责任公司上海东园路证券营业部,华泰证券股份有限公司南京分公司",0.2
