,accumulate return
1564,0.04662
1565,0.06451
1566,0.04201
1567,0.04574
1568,-0.01856
1569,-0.000170000000004
1570,0.03299
1571,0.00644
1572,0.05827
1573,0.02541
1574,0.02937
1575,0.03138
1576,0.02274
1577,0.07562
1578,0.06065
1579,0.05489
1580,0.07229
1581,0.05361
1582,0.01857
1583,0.02129
1584,0.08311
1585,0.02758
1586,0.04811
1587,0.04401
1588,0.02799
1589,0.05555
1590,0.02408
1591,0.07022
1592,0.01607
1593,0.06693
1594,0.02854
1595,0.0179
1596,-0.01071
1597,0.04088
1598,0.06002
1599,0.06392
1600,0.01547
1601,0.06771
1602,0.01764
1603,0.06593
1604,0.03119
1605,0.04137
1606,0.02631
1607,0.04916
1608,0.06049
1609,0.05438
1610,0.05557
1611,0.05497
1612,0.03278
1613,0.07168
1614,0.01955
1615,0.05752
1616,0.08454
1617,0.03051
1618,0.02244
1619,0.07162
1620,0.06879
1621,0.06826
1622,0.06881
1623,0.05699
1624,0.04907
1625,0.01183
1626,0.04231
1627,0.05866
1628,0.04268
1629,0.03569
1630,0.01751
1631,0.05133
1632,0.01524
1633,0.03359
1634,0.05247
1635,0.06543
1636,0.04724
1637,0.00548
1638,0.01755
1639,0.06773
1640,0.01851
1641,0.01217
1642,0.06188
1643,0.07031
1644,0.06235
1645,0.03713
1646,0.05907
1647,0.05678
1648,0.0426
1649,0.03241
1650,0.03547
1651,0.03388
1652,0.06022
1653,0.02063
1654,0.06403
1655,0.03347
1656,0.02201
1657,0.04141
1658,0.01994
1659,0.01498
1660,0.0298
1661,0.03556
1662,0.03945
1663,0.03412
1664,0.06245
1665,0.06009
1666,0.02459
1667,0.03686
1668,0.0654
1669,0.02555
1670,0.02912
1671,0.05769
1672,0.04318
1673,0.0192
1674,0.03461
1675,0.03985
1676,0.02157
1677,0.05257
1678,0.0301
1679,0.02711
1680,0.07313
1681,0.06719
1682,0.06293
1683,0.03474
1684,0.04991
1685,0.04756
1686,0.09321
1687,0.03328
1688,0.05067
1689,0.02735
1690,0.00992
1691,0.08285
1692,0.05475
1693,0.04227
1694,0.0215
1695,0.05647
1696,0.01099
1697,0.07966
1698,0.04609
1699,0.01159
1700,0.05335
1701,0.05515
1702,0.05344
1703,0.01616
1704,0.038
1705,0.04752
1706,0.05157
1707,0.03466
1708,0.00869
1709,0.03615
1710,0.01563
1711,0.04927
1712,0.06605
1713,0.06079
1714,0.05453
1715,0.0773
1716,0.05656
1717,0.0382
1718,0.07304
1719,0.03555
1720,0.01744
1721,0.06482
1722,0.08428
1723,-0.02382
1724,0.02878
